evidence_id,source_type,file_path_or_command,line_or_symbol_if_available,evidence_summary,confidence_low_medium_high,notes
E000,file,repository scan,all non-ignored paths,Cataloged 292 first-party paths and inspected 254 text/source/config/schema/test/content files.,high,
E001,config,package.json,scripts/dependencies,"Next.js ^15.5.18, React ^18.3.1, Prisma ^5.22.0, NextAuth ^5.0.0-beta.25; scripts: dev, build, start, lint, typecheck, test, db:migrate, db:push, db:seed, db:reset-signals, db:studio, db:reset, postinstall.",high,
E002,config,next.config.js,3-33,"Security headers include nosniff, DENY frame options, Referrer-Policy, Permissions-Policy; images allow SVG with CSP.",high,
E003,schema,prisma/schema.prisma,models/enums,"Enums: Role, OrderStatus, PaymentStatus, PaymentMethod, SellerStatus, ReviewStatus, CouponType, ReturnStatus, NotificationType. Models include User, Account, Session, VerificationToken, PasswordResetToken, Address, Seller, Category, Brand, Product, ProductView, ProductImage, ProductVariant, VariantOption, ProductAttribute, ProductSpec, FlashSale, FlashSaleItem, Cart, CartItem, Wishlist, WishlistItem, CompareItem, RecentlyViewed, Order, OrderItem, OrderStatusHistory, Payment, ReturnRequest, Review, Coupon, Banner, HomepageSection, ShippingZone, ShippingSettings, Notification, Setting, AuditLog, ContactMessage, NewsletterSubscriber.",high,
E004,file,src/backend/auth/index.ts,16-52,"NextAuth uses PrismaAdapter, Google, Credentials, bcrypt, and blocks inactive users.",high,
E005,file,src/middleware.ts,13-35,Middleware checks auth cookie prefixes for /admin and /account; it does not decode session role.,high,
E006,file,src/app/(admin)/admin/layout.tsx,13-17,Admin layout checks auth() and ADMIN/SUPER_ADMIN before rendering.,high,
E007,file,src/backend/admin/admin-utils.ts,8-15,Shared requireAdminSession enforces ADMIN/SUPER_ADMIN for admin APIs.,high,
E008,file,src/backend/security/rate-limit.ts,14-54,Rate limiter is an in-memory Map keyed by x-forwarded-for/x-real-ip/unknown.,high,
E009,config,.env,masked variable names only,"Env variable names present: DATABASE_URL, NEXTAUTH_SECRET, NEXTAUTH_URL, UPLOADTHING_SECRET, UPLOADTHING_APP_ID, STRIPE_SECRET_KEY, STRIPE_PUBLISHABLE_KEY, STRIPE_WEBHOOK_SECRET, BKASH_APP_KEY, BKASH_APP_SECRET, BKASH_USERNAME, BKASH_PASSWORD, BKASH_IS_SANDBOX, NAGAD_MERCHANT_ID, NAGAD_PG_PUBLIC_KEY, NAGAD_MERCHANT_PRIVATE_KEY, NAGAD_IS_SANDBOX, EMAIL_SERVER_HOST, EMAIL_SERVER_PORT, EMAIL_SERVER_USER, EMAIL_SERVER_PASSWORD, EMAIL_FROM, GOOGLE_CLIENT_ID, GOOGLE_CLIENT_SECRET, NEXT_PUBLIC_SITE_URL, NEXT_PUBLIC_SITE_NAME. Values were masked and not copied.",high,
