checkpoint_id,domain,checkpoint_question,expected_standard,actual_observation,score_0_100,severity_P0_P1_P2_P3,confidence_low_medium_high,evidence_ids,evidence_files,recommendation,fix_effort_XS_S_M_L_XL,business_impact_low_medium_high_critical,risk_if_ignored,visual_change_risk_none_minor_major,blocks_launch_yes_no
CP-01-01,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for route group coverage?,"Evidence-backed production readiness for route group coverage, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep route group coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-02,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for API mutation coverage?,"Evidence-backed production readiness for API mutation coverage, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep API mutation coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-03,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for RBAC enforcement?,"Evidence-backed production readiness for RBAC enforcement, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep RBAC enforcement under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-04,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for authenticated data access?,"Evidence-backed production readiness for authenticated data access, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep authenticated data access under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-05,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for schema support?,"Evidence-backed production readiness for schema support, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep schema support under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-06,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for validation path?,"Evidence-backed production readiness for validation path, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep validation path under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-07,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for error handling?,"Evidence-backed production readiness for error handling, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep error handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-08,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for audit logging?,"Evidence-backed production readiness for audit logging, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep audit logging under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-09,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for environment dependency?,"Evidence-backed production readiness for environment dependency, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep environment dependency under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-10,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for command verification?,"Evidence-backed production readiness for command verification, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep command verification under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-11,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for test coverage?,"Evidence-backed production readiness for test coverage, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep test coverage under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-12,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for data fetching strategy?,"Evidence-backed production readiness for data fetching strategy, preserving current visual design unless necessary.",In-memory route limiter exists but is not distributed.,58,P1,medium,E008,src/backend/security/rate-limit.ts,Fix data fetching strategy before launch or before enabling related feature.,S,medium,Launch risk remains around data fetching strategy.,none,no
CP-01-13,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for image/media handling?,"Evidence-backed production readiness for image/media handling, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep image/media handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-14,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for metadata and canonical handling?,"Evidence-backed production readiness for metadata and canonical handling, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E011;E017;E018,src/backend/seo/metadata.ts; src/app/(store)/category/[slug]/page.tsx; src/app/(store)/search/page.tsx,Keep metadata and canonical handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-15,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for structured data handling?,"Evidence-backed production readiness for structured data handling, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E014;E016;E017,src/backend/seo/structured-data.ts; src/app/(store)/products/[slug]/page.tsx; src/app/(store)/category/[slug]/page.tsx,Keep structured data handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-16,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for sitemap and robots handling?,"Evidence-backed production readiness for sitemap and robots handling, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep sitemap and robots handling under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-17,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for pagination and facets?,"Evidence-backed production readiness for pagination and facets, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep pagination and facets under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-18,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for seller ownership?,"Evidence-backed production readiness for seller ownership, preserving current visual design unless necessary.","Seller schema exists, but no seller route area was found and product writes are first-party/admin-managed.",45,P1,medium,E031;E026;E003,src/app route scan and README.md; src/backend/admin/product-editor.ts; prisma/schema.prisma,Fix seller ownership before launch or before enabling related feature.,S,medium,Launch risk remains around seller ownership.,minor,no
CP-01-19,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for admin versus super-admin split?,"Evidence-backed production readiness for admin versus super-admin split, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep admin versus super-admin split under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-20,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for order payment shipment status?,"Evidence-backed production readiness for order payment shipment status, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep order payment shipment status under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
CP-01-21,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for rate limiting?,"Evidence-backed production readiness for rate limiting, preserving current visual design unless necessary.",In-memory route limiter exists but is not distributed.,58,P1,medium,E008,src/backend/security/rate-limit.ts,Fix rate limiting before launch or before enabling related feature.,S,medium,Launch risk remains around rate limiting.,none,no
CP-01-22,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for CSRF and origin control?,"Evidence-backed production readiness for CSRF and origin control, preserving current visual design unless necessary.",No explicit CSRF token or Origin/Referer check found in sampled custom mutation APIs.,55,P1,medium,E060,custom mutation CSRF/origin scan,Fix CSRF and origin control before launch or before enabling related feature.,S,medium,Launch risk remains around CSRF and origin control.,none,no
CP-01-23,Repository structure and architecture,Does Repository structure and architecture meet the launch standard for secret exposure?,"Evidence-backed production readiness for secret exposure, preserving current visual design unless necessary.",Clear App Router structure; seller route area absent despite README references.,74,P2,medium,E000;E031,repository scan; src/app route scan and README.md,Keep secret exposure under regression coverage and improve where noted.,XS,medium,May reduce polish or scalability if left unmonitored.,none,no
