file_path,file_type,feature_area,inspected_yes_no,role_summary,main_exports_or_components,code_readability_score_0_100,maintainability_score_0_100,production_readiness_score_0_100,security_risk_0_100,performance_risk_0_100,seo_relevance_0_100,bug_risk_0_100,dead_code_risk_0_100,visual_regression_risk_0_100,key_findings,evidence_ids,recommended_action,priority_P0_P1_P2_P3,confidence_low_medium_high
.env,config,general,yes,Local env config; values masked.,none detected,84,82,78,28,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E009;E010,Keep as-is or clean opportunistically.,P3,medium
.eslintrc.json,json,general,yes,json for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
.vscode/settings.json,json,general,yes,json for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
README.md,md,general,yes,md for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E031;E039,Keep as-is or clean opportunistically.,P3,high
expanded-folders.txt,txt,general,yes,txt for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
next-env.d.ts,ts,general,yes,ts for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
next.config.js,js,general,yes,js for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E002,Keep as-is or clean opportunistically.,P3,high
package.json,package_config,general,yes,package_config for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E001,Keep as-is or clean opportunistically.,P3,high
postcss.config.js,js,general,yes,js for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
prisma/schema.prisma,schema,general,yes,schema for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E003;E051,Keep as-is or clean opportunistically.,P3,high
prisma/seed-config.json,json,general,yes,json for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
prisma/seed.ts,ts,general,yes,ts for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
project-folders.txt,txt,general,yes,txt for general.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
public/assets/README.md,md,assets_uploads,yes,md for assets_uploads.,none detected,84,82,78,10,10,10,14,8,8,No major issue found in automated/source inspection; reviewed for role and risk.,E031;E039,Keep as-is or clean opportunistically.,P3,high
scripts/codemod-button-title.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
scripts/codemod-button-types.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
scripts/codemod-form-labels.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
scripts/codemod-input-labels.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
scripts/process-branding.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
scripts/reset-commerce-signals.mjs,mjs,general,yes,mjs for general.,none detected,84,82,73,10,10,10,14,8,8,Contains console logging path.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/banners/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminBannerDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/banners/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewBannerPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/banners/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminBannersPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/categories/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminCategoryDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/categories/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewCategoryPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/categories/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminCategoriesPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/content/[id]/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminContentDetailPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
src/app/(admin)/admin/content/new/page.tsx,page,admin_rbac_operations,yes,page for admin_rbac_operations.,metadata; AdminNewContentSectionPage,84,82,78,10,10,10,14,8,28,No major issue found in automated/source inspection; reviewed for role and risk.,E000,Keep as-is or clean opportunistically.,P3,high
